FID,Shape,FID_1,Area,Block,Profile,EC,SAR,E_Depth,WT,CaCO3,Gypsum,OM,N,P,K,Fe,Mn,Zn,Cu,TEXTURE_AL,pH,Long,Lat
1963,Point,1526,1,57,291,1.6,5.1,150,150,3.3,0.07,0.6,71.2,13.8,410,5.85,4.45,0.7,4.2,Sand,8.09,"30° 19' 54.628"" E","31° 19' 55.361"" N"
2353,Point,2633,4,30,22,1.16,3.03,150,200,0.15,4.41,0.037,183.75,5.55,121.32,6.84,3.43,1.63,0.36,Sand,9,"30° 5' 16.750"" E","30° 27' 36.668"" N"
1967,Point,1532,1,46,96,3.89,10.59,130,130,2.21,0.96,0.62,82,22.15,410,8.325,5.675,0.8,4.3,Sand,8.16,"30° 13' 19.220"" E","31° 16' 22.090"" N"
2680,Point,3103,4,82,550,1.5,5.41,150,200,3.7,0.11,0.17,210,2.21,114,3.792,3.034,0.638,0.176,Sand,8.36,"30° 33' 26.567"" E","30° 16' 23.511"" N"
2217,Point,2015,1,41,143,0.7,3.4,150,150,4.1,0.02,0.09,99.75,4.78908,46.86,9.044,1.902,0.79,0.262,Sand,9.14,"30° 9' 14.886"" E","30° 38' 11.463"" N"
2574,Point,2921,4,61,474,2.1,3.137858,150,200,2.8,0.21,0.16,147,4.92264,106.24,8.038,2.392,0.65,0.198,Sand,8.74,"30° 25' 57.337"" E","30° 17' 10.486"" N"
1807,Point,99,1,41,603,1.8,3.2,150,150,3.8,0.1,0.34,131.2,9.8,380,5.025,4.25,0.8,4.8,Sand,7.73,"30° 14' 13.750"" E","30° 41' 28.140"" N"
2728,Point,3199,4,85,17,0.91,4.01,75,200,0.13,0.33,0.9,152.25,16.37064,135.64,1.12,1.922,1.356,0.178,Sand,8.36,"30° 37' 5.688"" E","30° 43' 55.579"" N"
1848,Point,185,1,65,115,3.1,5.9,150,150,7.45,0.3,0.6,96,12,480,4.4,4.6,1.02,2.9,Sand,7.9,"30° 23' 54.597"" E","30° 45' 34.729"" N"
2749,Point,3240,4,113,425,1.41,4.1,120,200,5.26,0.17,0.14,63.28,12,48.58,2.81,1.68,0.98,0.14,Sand,8.7,"30° 42' 44.908"" E","30° 32' 39.275"" N"
2070,Point,1789,1,24,237,3.68,3.8,150,150,8.6,1.09,0.23,183.75,3.7,26.34,7.18,1.79,1.75,1.79,Sand,8.74,"29° 55' 8.262"" E","30° 40' 47.532"" N"
2677,Point,3097,4,82,475,2.5,6.87,150,200,19.9,0.19,0.13,147,4.94172,108.18,7.822,3.456,1.354,0.098,Sand,8.45,"30° 33' 26.348"" E","30° 17' 12.221"" N"
2548,Point,2895,4,61,249,1.1,4.525483,150,200,1.6,0.22,0.14,210,10.79928,52.18,5.578,2.638,0.65,0.176,Sand,8.69,"30° 23' 8.049"" E","30° 19' 35.850"" N"
1843,Point,177,1,52,653,2.29,4.89,150,150,25,0.87,0.25,96,12,480,4.4,4.6,1.02,2.9,Sand,8.11,"30° 22' 20.917"" E","30° 44' 45.578"" N"
2378,Point,2662,4,39,117,5.06,6.86,150,70,0.12,0.42,0.12,60.9,5.37,108.02,2.94,1.25,1.09,0.02,Sand,9.09,"30° 9' 1.212"" E","30° 28' 26.892"" N"
1901,Point,345,1,42,607,0.49,3.955853659,150,150,10.27,1.14,0.82,108,17,425,6.6,5.2,0.86,4.6,Sand,7.85,"30° 14' 29.225"" E","30° 48' 30.348"" N"
2610,Point,2974,4,63,18,6.8,6.26,150,200,13.2,0.06,0.11,64.96,4.48,81.28,9.02,4.34,1.09,0.84,Sand,8.79,"30° 28' 39.219"" E","30° 37' 28.890"" N"
2349,Point,2374,1,69,250,0.93,1.53,150,120,5.05,1.33,0.64,119.2,17.2,340,3.95,8.875,0.95,0.2,Sand,8.19,"30° 25' 15.438"" E","31° 21' 50.561"" N"
